## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
davostrek,Davos Trek,equipment equipment:hiking,Warm or cold - it doesn't matter,https://udupa.000webhostapp.com/images/center-bg-image.jpg,15,/en/equipment/hiking/davos-trek.html,889,6,,,,,,,,,,,
edmontonwinter,Edmonton Winter,men equipment equipment:skiing men:coats,A jacket to keep you warm,https://udupa.000webhostapp.com/images/center-bg-image.jpg,160,/en/equipment/skiing/edmonton-winter.html,921,16,,,,,,,,,,,
ferniesnow,Fernie Snow,equipment equipment:skiing,I can see clearly now,https://udupa.000webhostapp.com/images/center-bg-image.jpg,38,/en/equipment/skiing/fernie-snow.html,243,11.4,,,,,,,,,,,
fijisport,Fiji Sport,women equipment equipment:running women:shorts,Running shorts,https://udupa.000webhostapp.com/images/center-bg-image.jpg,32,/en/equipment/running/fiji-sport.html,659,16,,,,,,,,,,,
fulaninomad,Fulani Nomad,men equipment equipment:hiking men:pants,Stay dry with these pants,https://udupa.000webhostapp.com/images/center-bg-image.jpg,59.9,/en/equipment/hiking/fulani-nomad.html,912,17.97,,,,,,,,,,,
halifaxwinter,Halifax Winter,equipment equipment:skiing,Not your mothers scarf,https://udupa.000webhostapp.com/images/center-bg-image.jpg,22,/en/equipment/skiing/halifax-winter.html,565,6.6,,,,,,,,,,,
interlakentrek,Interlaken Trek,equipment equipment:skiing,Much better traction,https://udupa.000webhostapp.com/images/center-bg-image.jpg,189.9,/en/equipment/hiking/interlaken-trek.html,242,56.97,,,,,,,,,,,
irianjaya,Irian Jaya,equipment equipment:sunglasses,See everything,https://udupa.000webhostapp.com/images/center-bg-image.jpg,37,/en/equipment/sunglasses/irian-jaya.html,344,3.7,,,,,,,,,,,
kamloopssnow,Kamloops Snow,equipment equipment:skiing,World class ski boots,https://udupa.000webhostapp.com/images/center-bg-image.jpg,190,/en/equipment/skiing/kamloops-snow.html,331,19,,,,,,,,,,,
kawarthasnow,Kawartha Snow,equipment equipment:skiing,Protect your dome,https://udupa.000webhostapp.com/images/center-bg-image.jpg,82,/en/equipment/skiing/kawartha-snow.html,65,8.2,,,,,,,,,,,
kelownasnow,Kelowna Snow,equipment equipment:skiing,They're like a telescope,https://udupa.000webhostapp.com/images/center-bg-image.jpg,38,/en/equipment/skiing/kelowna-snow.html,383,3.8,,,,,,,,,,,
lagosmini-longboard,Lagos Mini Longboard,equipment equipment:surfing,Be cool again,https://udupa.000webhostapp.com/images/center-bg-image.jpg,319.9,/en/equipment/surfing/lagos-mini-longboard.html,702,95.97,,,,,,,,,,,
longirodtrek,Longirod Trek,equipment equipment:hiking,Trekking poles for trekking,https://udupa.000webhostapp.com/images/center-bg-image.jpg,89,/en/equipment/hiking/longirod-trek.html,474,17.8,,,,,,,,,,,
markasport,Marka Sport,men equipment equipment:running men:shorts,Those short runny shorts,https://udupa.000webhostapp.com/images/center-bg-image.jpg,45,/en/equipment/running/marka-sport.html,625,13.5,,,,,,,,,,,
mombassarunners,Mombassa Runners,equipment equipment:running,Upgraded heel,https://udupa.000webhostapp.com/images/center-bg-image.jpg,120,/en/equipment/running/mombassa-runners.html,404,24,,,,,,,,,,,
monttremblant,Mont Tremblant,equipment equipment:skiing,Warmer than warm gloves,https://udupa.000webhostapp.com/images/center-bg-image.jpg,67,/en/equipment/skiing/mont-tremblant.html,744,6.7,,,,,,,,,,,
montrealsnow,Montreal Snow,equipment equipment:skiing,What a great hat,https://udupa.000webhostapp.com/images/center-bg-image.jpg,29.9,/en/equipment/skiing/montreal-snow.html,752,2.99,,,,,,,,,,,
nairobirunners,Nairobi Runners,equipment equipment:running,Win a marathon - guaranteed,https://udupa.000webhostapp.com/images/center-bg-image.jpg,75,/en/equipment/running/nairobi-runners.html,715,22.5,,,,,,,,,,,
nunavutfleece,Nunavut Fleece,equipment equipment:hiking,Soft fleece,https://udupa.000webhostapp.com/images/center-bg-image.jpg,150,/en/equipment/hiking/nunavut-fleece.html,477,30,,,,,,,,,,,
rajaampat,Raja Ampat,equipment equipment:sunglasses,Don't go blind from glare,https://udupa.000webhostapp.com/images/center-bg-image.jpg,36,/en/equipment/sunglasses/raja-ampat.html,436,14.4,,,,,,,,,,,
saskatoonparka,Saskatoon Parka,women equipment equipment:running women:coats,Water repellant miracle,https://udupa.000webhostapp.com/images/center-bg-image.jpg,299,/en/equipment/skiing/saskatoon-parka.html,188,119.6,,,,,,,,,,,
sparrow,Sparrow,equipment equipment:biking,Evil Kenevil used this,https://udupa.000webhostapp.com/images/center-bg-image.jpg,1250,/en/equipment/biking/sparrow.html,672,250,,,,,,,,,,,
sumatra,Sumatra,equipment equipment:sunglasses,You'll have X-ray vision,https://udupa.000webhostapp.com/images/center-bg-image.jpg,39.99,/en/equipment/sunglasses/sumatra.html,56,8,,,,,,,,,,,
tacna,Tacna,equipment equipment:biking,Skate in Style,https://udupa.000webhostapp.com/images/center-bg-image.jpg,62,/en/equipment/biking/tacna.html,23,12.4,,,,,,,,,,,
timor,Timor,equipment equipment:sunglasses,Better than binoculars,https://udupa.000webhostapp.com/images/center-bg-image.jpg,24,/en/equipment/sunglasses/timor.html,462,2.4,,,,,,,,,,,
tobermorysnow,Tobermory Snow,equipment equipment:skiing,Be faster than a Olympian,https://udupa.000webhostapp.com/images/center-bg-image.jpg,248,/en/equipment/skiing/tobermory-snow.html,134,74.4,,,,,,,,,,,
tuaregsummer,Tuareg Summer,men equipment equipment:hiking,Look better doing Yoga,https://udupa.000webhostapp.com/images/center-bg-image.jpg,39.9,/en/equipment/hiking/tuareg-summer.html,975,15.96,,,,,,,,,,,
whistlersnow,Whistler Snow,equipment equipment:skiing,Snowboard like a skier,https://udupa.000webhostapp.com/images/center-bg-image.jpg,340,/en/equipment/skiing/whistler-snow.html,539,68,,,,,,,,,,,
